# time true_h true_v est_h est_v est_g control
0.0333333 100 -0.184114 99.9234 -0.269191 8 -205.652
0.0666667 99.994 -7.22331 99.9536 -0.521935 7.99957 -198.035
0.1 99.7536 -14.0092 99.8765 -0.837301 8.00225 -188.543
0.133333 99.2867 -20.4788 99.638 -1.36645 8.02337 -173.111
0.166667 98.604 -26.4326 99.2672 -2.14212 8.07816 -150.938
0.2 97.7227 -31.6466 98.6897 -3.30107 8.20048 -118.275
0.233333 96.6681 -35.7725 97.9369 -4.77052 8.40374 -77.0779
0.266667 95.4758 -38.5233 97.0693 -6.39776 8.6805 -31.4667
0.3 94.1918 -39.7534 95.9786 -8.35727 9.08835 23.3853
0.333333 92.8668 -39.9397 94.7596 -10.4324 9.59548 81.5968
0.366667 91.5358 -40.1187 93.4732 -12.4938 10.1722 139.637
0.4 90.1985 -40.3029 92.2047 -14.386 10.7604 193.219
0.433333 88.8551 -40.4832 90.751 -16.4891 11.5076 252.81
0.466667 87.5057 -40.6653 89.3735 -18.3312 12.2069 305.372
0.5 86.1501 -40.8478 87.9258 -20.1918 12.9788 358.602
0.533333 84.7889 -41.0314 86.5144 -21.8935 13.718 407.557
0.566667 83.4211 -41.2177 85.0347 -23.6293 14.5271 457.578
0.6 82.0465 -41.401 83.5654 -25.2699 15.3153 505.048
0.633333 80.6664 -41.5841 82.0102 -26.9873 16.1938 554.748
0.666667 79.2806 -41.7659 80.5432 -28.4886 16.9355 598.476
0.7 77.8892 -41.9506 79.0496 -29.9776 17.6857 641.911
0.733333 76.4907 -42.1325 77.5859 -31.3604 18.3585 682.414
0.766667 75.0865 -42.3156 76.071 -32.78 19.07 723.978
0.8 73.6759 -42.4973 74.5461 -34.1654 19.7525 764.61
0.833333 72.2594 -42.6825 73.0388 -35.4689 20.3561 802.961
0.866667 70.8365 -42.8617 71.454 -36.8592 21.0378 843.767
0.9 69.4075 -43.0447 69.9702 -38.0167 21.4833 878.044
0.933333 67.9729 -43.2279 68.492 -39.1139 21.8614 910.642
0.966667 66.5321 -43.4107 67.0263 -40.1384 22.1585 941.207
1 65.0856 -43.5956 65.5174 -41.1927 22.4789 972.616
1.03333 63.6318 -43.7779 63.9619 -42.2824 22.827 1005.03
1.06667 62.1724 -43.9592 62.4409 -43.2537 23.0434 1034.13
1.1 60.7071 -44.142 60.8917 -44.2262 23.2544 1063.26
1.13333 59.2353 -44.3234 59.3629 -45.106 23.3627 1089.81
1.16667 57.7578 -44.5095 57.8978 -45.8105 23.2857 1111.45
1.2 56.2741 -44.6951 56.3953 -46.5389 23.2363 1133.78
1.23333 54.7845 -44.8797 54.8563 -47.2892 23.2112 1156.73
1.26667 53.2888 -45.0605 53.3042 -48.0151 23.1619 1179.01
1.3 51.7868 -45.2425 51.6608 -48.8724 23.2496 1204.96
1.33333 50.279 -45.4242 50.1095 -49.4921 23.0901 1224.28
1.36667 48.765 -45.609 48.5433 -50.0942 22.9188 1243.12
1.4 47.2452 -45.7937 47.0416 -50.52 22.5741 1257.05
1.43333 45.7186 -45.9778 45.4958 -50.9935 22.291 1272.31
1.46667 44.1858 -46.1611 43.9225 -51.4808 22.0324 1287.96
1.5 42.6473 -46.3443 42.3281 -51.9687 21.7843 1303.64
1.53333 41.1031 -46.5308 40.7224 -52.4379 21.5269 1318.79
1.56667 39.5521 -46.7138 39.1569 -52.7848 21.1571 1330.55
1.6 37.9944 -46.896 37.5865 -53.1057 20.7753 1341.58
1.63333 36.4314 -47.0797 36.0414 -53.3406 20.3228 1350.22
1.66667 34.8617 -47.2627 34.4849 -53.5678 19.8793 1358.64
1.7 33.2863 -47.445 32.846 -53.9325 19.587 1370.89
1.73333 31.7049 -47.6288 31.3088 -54.0563 19.0701 1376.43
1.76667 30.1178 -47.8131 29.7006 -54.299 18.6875 1385.27
1.8 28.5241 -47.9963 28.1001 -54.4975 18.2759 1392.88
1.83333 26.924 -48.1807 26.4842 -54.7004 17.8831 1400.6
1.86667 25.3181 -48.3659 24.9146 -54.7836 17.3889 1404.99
1.9 23.706 -48.5509 23.348 -54.8395 16.8858 1408.61
1.93333 22.0878 -48.7339 21.6579 -55.1245 16.6196 1418.57
1.96667 20.4635 -48.917 20.0269 -55.2631 16.2227 1424.45
2 18.8324 -49.0999 18.3505 -55.471 15.9055 1432.24
2.03333 17.1951 -49.2836 16.7025 -55.598 15.5221 1437.76
2.06667 15.5524 -49.4681 15.073 -55.6675 15.097 1441.68
2.1 13.9032 -49.6516 13.4696 -55.6667 14.6196 1443.63
2.13333 12.248 -49.8325 11.8337 -55.7161 14.2054 1446.95
2.16667 10.5868 -50.0115 10.1721 -55.8 13.8376 1451.2
2.2 8.9201 -50.1955 8.5296 -55.8287 13.4298 1453.89
2.23333 7.24621 -50.3782 6.87173 -55.8733 13.0502 1457
2.26667 5.56677 -50.5657 5.20347 -55.9234 12.6882 1460.24
2.3 3.8809 -50.7485 3.51323 -56.0023 12.3648 1464.25
2.33333 2.18959 -50.9309 1.79725 -56.1166 12.0851 1469.19
2.36667 0.49172 -51.112 0.134399 -56.1095 11.7005 1470.76
2.4 -1.21247 -51.2948 -1.57387 -56.1802 11.401 1474.45
