# time true_h true_v est_h est_v est_g control_input
0.033333 99.993891 -2.320306 104.996974 -0.166566 0.000000 -58.610400
0.066667 99.916544 -4.411362 103.330887 -0.331902 -0.003671 -57.242550
0.100000 99.769500 -6.475761 102.648360 -0.464779 -0.009575 -56.431637
0.133333 99.553642 -8.523527 102.481781 -0.514226 -0.012855 -55.938231
0.166667 99.269524 -10.546363 102.023618 -0.725243 -0.031597 -55.174868
0.200000 98.917978 -12.539250 101.477140 -1.064945 -0.069242 -54.278779
0.233333 98.500000 -14.510764 101.273409 -1.206867 -0.087841 -53.654787
0.266667 98.016306 -16.444413 100.623475 -1.827645 -0.183699 -52.536181
0.300000 97.468158 -18.350072 100.259326 -2.194742 -0.247574 -51.678724
0.333333 96.856487 -20.224992 99.859875 -2.644801 -0.335332 -50.747739
0.366667 96.182325 -22.071001 99.537276 -3.007396 -0.412715 -49.876502
0.400000 95.446628 -23.879699 99.033741 -3.675433 -0.570841 -48.768432
0.433333 94.650637 -25.654233 98.599524 -4.231627 -0.712158 -47.723901
0.466667 93.795500 -27.382337 97.886797 -5.285913 -1.005273 -46.342672
0.500000 92.882761 -29.067367 97.257294 -6.163623 -1.263380 -45.055601
0.533333 91.913849 -30.706236 96.536082 -7.188145 -1.584668 -43.665351
0.566667 90.890304 -32.296808 95.762788 -8.272504 -1.943990 -42.223224
0.600000 89.813747 -33.842403 95.087161 -9.116744 -2.232100 -40.883813
0.633333 88.685667 -35.332140 94.056851 -10.612273 -2.787667 -39.201831
0.666667 87.507928 -36.775042 93.284878 -11.523447 -3.124966 -37.771362
0.700000 86.282095 -38.156352 92.037358 -13.312460 -3.855294 -35.933623
0.733333 85.010213 -39.485313 91.100933 -14.398080 -4.290440 -34.368973
0.766667 83.694039 -40.758213 90.025336 -15.691633 -4.837758 -32.701336
0.800000 82.335431 -41.971968 88.766612 -17.264595 -5.538801 -30.913799
0.833333 80.936368 -43.123759 87.374269 -19.005872 -6.343967 -29.055086
0.866667 79.498909 -44.215442 86.065089 -20.495855 -7.031273 -27.261500
0.900000 78.025061 -45.246636 84.678042 -22.052916 -7.768704 -25.435618
0.933333 76.516844 -46.218981 83.373939 -23.374081 -8.381594 -23.658938
0.966667 74.976212 -47.129922 81.931096 -24.884772 -9.115334 -21.826922
1.000000 73.405208 -47.980158 80.497371 -26.303172 -9.799856 -20.006473
1.033333 71.805867 -48.768053 78.864582 -28.017132 -10.676213 -18.127548
1.066667 70.180265 -49.495800 77.448517 -29.253676 -11.247266 -16.322498
1.100000 68.530410 -50.161091 75.724941 -30.990046 -12.151666 -14.450981
1.133333 66.858372 -50.762783 73.917743 -32.798373 -13.104781 -12.579320
1.166667 65.166283 -51.303339 72.084932 -34.571516 -14.031048 -10.722497
1.200000 63.456173 -51.782953 70.122539 -36.499035 -15.061781 -8.872362
1.233333 61.730072 -52.201759 68.342552 -38.014102 -15.789064 -7.058681
1.266667 59.990010 -52.560488 66.380236 -39.788064 -16.698306 -5.263246
1.300000 58.237992 -52.860185 64.578833 -41.196008 -17.327025 -3.494724
1.333333 56.475985 -53.102734 62.586489 -42.881342 -18.154757 -1.764447
1.366667 54.705896 -53.288783 60.592173 -44.495970 -18.916778 -0.069491
1.400000 52.929608 -53.472299 58.419871 -46.356371 -19.853338 0.000000
1.433333 51.147203 -53.655656 56.528730 -47.634798 -20.326441 0.000000
1.466667 49.358684 -53.838646 54.529097 -49.045547 -20.892452 0.000000
1.500000 47.564071 -54.021357 52.477870 -50.482363 -21.466889 0.000000
1.533333 45.763361 -54.204883 50.210311 -52.236421 -22.275766 0.000000
1.566667 43.956531 -54.387505 48.047231 -53.726956 -22.860084 0.000000
1.600000 42.143614 -54.570501 46.129787 -54.712963 -23.035415 0.000000
1.633333 40.324593 -54.754514 44.164939 -55.730084 -23.230747 0.000000
1.666667 38.499444 -57.124668 42.119952 -56.834723 -23.489649 -65.609602
1.700000 36.595294 -59.437220 39.794889 -58.375181 -24.083215 -63.878104
1.733333 34.614052 -61.685637 37.827010 -59.216630 -24.113493 -61.940503
1.766667 32.557864 -63.868520 35.805795 -60.103239 -24.178233 -59.984028
1.800000 30.428912 -65.988306 33.500597 -61.435708 -24.588956 -58.089553
1.833333 28.229299 -68.041218 31.364423 -62.408955 -24.708487 -56.072910
1.866667 25.961254 -70.026766 29.095551 -63.559456 -24.962112 -54.057663
1.900000 23.627036 -71.942874 26.830404 -64.644564 -25.157813 -51.988216
1.933333 21.228932 -73.787996 24.588053 -65.633773 -25.273892 -49.861946
1.966667 18.769332 -75.561529 22.242263 -66.747024 -25.481811 -47.724074
2.000000 16.250613 -77.262886 19.908609 -67.782035 -25.623775 -45.532384
2.033333 13.675180 -78.888282 17.680613 -68.582789 -25.583122 -43.263735
2.066667 11.045572 -80.439742 15.153163 -69.843923 -25.892865 -41.046028
2.100000 8.364253 -81.917061 12.460324 -71.321279 -26.356788 -38.817111
2.133333 5.633683 -83.316575 9.921961 -72.469721 -26.559733 -36.481694
2.166667 2.856467 -84.638324 7.148875 -73.951411 -27.006235 -34.155109
2.200000 0.035191 -85.879776 4.405969 -75.312995 -27.350164 -31.756134
2.233333 -2.827469 -87.039066 1.783321 -76.410093 -27.487791 -29.271112
